No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
49;oppo;Oppo A54;https://www.gsmarena.com/oppo_a54-10818.php;N/A;N/A;18W wired;Li-Po 5000 mAh;N/A;N/A;163.6 x 75.7 x 8.4 mm (6.44 x 2.98 x 0.33 in);Nano-SIM + Nano-SIM;192 g (6.77 oz);5.0, A2DP, LE, aptX HD;N/A;No;GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~270 ppi density);6.51 inches, 102.3 cm2 (~82.6% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2021, March 26;Available. Released 2021, April 01;N/A;LED flash, HDR, panorama;N/A;N/A;"13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";1080p@30fps;N/A;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Crystal Black, Starry Blue;CPH2239;About 160 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6765 Helio P35 (12 nm);PowerVR GE8320;Android 10, ColorOS 7.2;HDR;"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm";1080p@30fps;N/A;Yes;Yes
50;oppo;Oppo A3s;https://www.gsmarena.com/oppo_a3s-9269.php;N/A;N/A;20W wired;Li-Ion 4230 mAh, non-removable;N/A;Glass front (Gorilla Glass 3), plastic back, plastic frame;156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in);Nano-SIM + Nano-SIM;168 g (5.93 oz);4.2, A2DP, LE;N/A;No;GPS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;N/A;Corning Gorilla Glass 3;720 x 1520 pixels, 19:9 ratio (~271 ppi density);6.2 inches, 95.9 cm2 (~81.2% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Accelerometer, gyro, proximity, compass;2018, July 13. Released 2018, July;Discontinued;"13 MP, f/2.2, AF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);16GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM;Red, Dark Purple;CPH1803, CPH1853, CPH1805;About 11000 INR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core 1.8 GHz Cortex-A53;Qualcomm SDM450 Snapdragon 450 (14 nm);Adreno 506;Android 8.1 (Oreo), ColorOS 5.1;N/A;8 MP, f/2.2;1080p@30fps;N/A;Yes;Yes
51;oppo;Oppo K13x;https://www.gsmarena.com/oppo_k13x_5g-13978.php;N/A;N/A;45W wired, 33W PPS, 13.5W PD, 50% in 37 min;6000 mAh;"IP65 dust tight and water resistant (low pressure water jets)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;165.7 x 76.2 x 7.9 mm (6.52 x 3.00 x 0.31 in);Nano-SIM + Nano-SIM;194 g (6.84 oz);5.4, A2DP, LE, aptX HD;N/A;Yes (only A5i Pro);GPS, GALILEO, GLONASS, BDS, QZSS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 7i (Oppo A5i Pro only);720 x 1604 pixels, 20:9 ratio (~264 ppi density);6.67 inches, 107.2 cm2 (~84.9% screen-to-body ratio);IPS LCD, 120Hz, 850 nits (typ), 1000 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2025, June 23;Available. Released 2025, June 27;"50 MP, f/1.8, 27mm (wide), 1/2.88"", 0.61µm, PDAF
2 MP, f/2.4, (wide)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30/60fps;UFS 2.2;microSDXC;128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Sunset Peach, Midnight Violet (Midnight Purple), Breeze Blue;CPH2753, CPH2821;₹ 10,745;1.18 W/kg (head)     1.05 W/kg (body);1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 66, 71, 77, 78 SA/NSA - A5i Pro;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100 - K13x;1, 3, 5, 8, 28, 40, 41 - K13x;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA - K13x;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 15, ColorOS 15;Panorama;"8 MP, f/2.0, 25mm (wide), 1/4.0"", 1.12µm";1080p@30fps;N/A;Yes;Yes
52;oppo;Oppo A6 Pro;https://www.gsmarena.com/oppo_a6_pro_5g-14171.php;N/A;N/A;"80W wired, 33W PPS, 13.5W PD
Reverse wired charging";Si/C Li-Ion 7000 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;158.2 x 75 x 8 mm (6.23 x 2.95 x 0.31 in);Nano-SIM + Nano-SIM;185 g (6.53 oz);5.4, A2DP, LE, aptX HD;N/A;Yes (market/region dependent);GPS, GALILEO, GLONASS, BDS, QZSS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;AGC DT-Star D+;1080 x 2372 pixels (~397 ppi density);6.57 inches, 105.0 cm2 (~88.5% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 600 nits (typ), 1400 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, September 23;Coming soon. Exp. release 2025, September;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30/60/120fps;UFS 2.2;microSDXC;128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;Lunar Titanium, Stellar Blue, Coral Pink, Rosewood Red;CPH2781;N/A;N/A;1, 3, 5, 8, 40 SA/NSA - version 3;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - version 1,2;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 42, 48, 66 - version 1;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 66, 71, 77, 78 SA/NSA - version 1;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 15, ColorOS 15;Panorama;16 MP, f/2.4, (wide);1080p@30fps;N/A;No;Yes, with stereo speakers
53;oppo;Oppo A38;https://www.gsmarena.com/oppo_a38-12541.php;N/A;N/A;33W wired, PD, 50% in 30 min;Li-Po 5000 mAh;IP54 dust protected and water resistant (water splashes);N/A;163.7 x 75 x 8.2 mm (6.44 x 2.95 x 0.32 in);Nano-SIM + Nano-SIM;190 g (6.70 oz);5.3, A2DP, LE, aptX HD;N/A;Yes (market/region dependent);GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~84.2% screen-to-body ratio);IPS LCD, 90Hz, 720 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2023, September 04;Available. Released 2023, September;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC;128GB 4GB RAM, 128GB 6GB RAM;Glowing Black, Glowing Gold;CPH2579;$ 315.00 / € 144.99 / ₹ 10,999;N/A;1, 3, 5, 8, 38, 40, 41 - version 3;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - version 1;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 26, 28, 38, 40, 41, 66 - version 1;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek MT6769 Helio G85 (12 nm);Mali-G52 MC2;Android 13, upgradable to Android 15, ColorOS 15;N/A;5 MP, f/2.2, (wide);1080p@30fps;N/A;Yes;Yes
54;oppo;Oppo A3 Pro;https://www.gsmarena.com/oppo_a3_pro-13160.php;N/A;N/A;45W wired, 50% in 30 min;5100 mAh;IP54 dust protected and water resistant (water splashes);N/A;165.8 x 76.1 x 7.7 mm (6.53 x 3.00 x 0.30 in);Nano-SIM + Nano-SIM;186 g (6.56 oz);5.3, A2DP, LE, aptX HD;N/A;Yes (market/region dependent);GPS, GALILEO, GLONASS, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Panda glass;720 x 1604 pixels, 20:9 ratio (~264 ppi density);6.67 inches, 107.2 cm2 (~85.0% screen-to-body ratio);IPS LCD, 120Hz, 1000 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2024, June 21;Available. Released 2024, June 21;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30/60fps;UFS 2.2;microSDXC;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Moonlit Purple, Starry Black;CPH2639, CPH2665;₹ 14,950;N/A;1, 3, 5, 8, 28, 40, 41, 77, 88 SA/NSA - India;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International;1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 14, upgradable to Android 15, ColorOS 15;N/A;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes
55;oppo;Oppo A6 GT;https://www.gsmarena.com/oppo_a6_gt_5g-14135.php;N/A;N/A;"80W wired, 33W PPS, 13.5W PD, 13.5W QC, 50% in 24 min
10W reverse wired";Si/C Li-Ion 7000 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
GJB 150A-2009 certified*
* does not guarantee ruggedness or use in extreme conditions";N/A;163.1 x 77.6 x 7.7 mm (6.42 x 3.06 x 0.30 in);Nano-SIM + Nano-SIM;198 g or 204 g (6.98 oz);5.4, A2DP, LE, aptX HD;N/A;Yes;GPS (L1+L5), BDS (B1I+B1C+B2a), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;N/A;1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density);6.8 inches, 112.8 cm2 (~89.1% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 600 nits (typ), 1600 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, September 09;Available. Released 2025, September 09;"50 MP, f/1.8, 27mm (wide), PDAF, OIS
2 MP, f/2.4, (depth)";Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30/60/120fps, gyro-EIS;UFS 3.1;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;White, Blue, Silver/Pink;PLL110;About 220 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 19, 28, 34, 38, 39, 40, 41, 42, 48;1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510);Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm);Adreno 720;Android 15, ColorOS 15;Panorama;32 MP, f/2.4, 24mm (wide);4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers
56;oppo;Oppo Reno14 Pro;https://www.gsmarena.com/oppo_reno14_pro_5g-13865.php;N/A;N/A;"80W wired, 13.5W PD, 33W UFCS, 33W PPS
50W wireless
Reverse wired";6200 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min)";Glass front (Gorilla Glass 7i), aluminum alloy frame, glass back;163.4 x 77 x 7.5 mm (6.43 x 3.03 x 0.30 in);Nano-SIM + Nano-SIM + eSIM (max 2 at a time)Nano-SIM + Nano-SIM;201 g (7.09 oz);5.4, A2DP, LE, aptX HD, LHDC 5;Yes;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band;N/A;Corning Gorilla Glass 7i or Crystal Shield Glass;1272 x 2800 pixels (~450 ppi density);6.83 inches, 113.3 cm2 (~90.1% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR10+, 600 nits (typ), 1200 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, May 15;Available. Released 2025, May 23;N/A;Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.8, 24mm (wide), 1/1.55"", PDAF, OIS
50 MP, f/2.8, 80mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom
50 MP, f/2.0, 16mm, 116˚ (ultrawide), AF";4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, HDR;UFS 3.1;No;256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Titanium Gray, Brilliant White (Opal White), Purple;PKZ110, CPH2739;₹ 49,998;1.16 W/kg (head)     1.14 W/kg (body);1, 3, 5, 8, 28, 41, 48, 66, 77, 78, 79 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42, 48, 66 - International;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core 3.25 GHz;Mediatek Dimensity 8450 (4 nm);Mali-G720 MC7;Android 15, ColorOS 15;Panorama, HDR;50 MP, f/2.0, 21mm (wide), AF;4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR;N/A;No;Yes, with stereo speakers
57;oppo;Oppo Reno12;https://www.gsmarena.com/oppo_reno12-13133.php;N/A;N/A;"80W wired, PD2.0, 47% in 18 min, 100% in 46 min,
Reverse wired";5000 mAh;IP65 dust tight and water resistant (low pressure water jets);Glass front (Gorilla Glass 7i), plastic frame, glass back;161.4 x 74.1 x 7.6 mm (6.35 x 2.92 x 0.30 in);Nano-SIM + Nano-SIM;177 g (6.24 oz);5.4, A2DP, LE, aptX HD, LHDC;Yes;Yes, 360˚ (market/region dependent);GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Corning Gorilla Glass 7i;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~90.3% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR10+, 1200 nits (peak);N/A;N/A;N/A;N/A;BeaconLink calls via bluetooth, up to 200m;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, June 18;Available. Released 2024, June 25;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, multi-directional PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS, OIS, HDR;UFS 3.1;microSDXC;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Matte Brown, Sunset Pink, Astro Silver;CPH2625;$ 669.00 / € 309.99;N/A;1, 3, 5, 8, 40 SA/NSA - version 2;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - version 1;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - version 1;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA - version 1;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;Active use score 14:53h;N/A;N/A;1378 nits max brightness (measured);-24.0 LUFS (Very good);"AnTuTu: 681613 (v10)
GeekBench: 2631 (v6)
3DMark: 849 (Wild Life Extreme)";Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7300 Energy (4 nm);Mali-G615 MC2;Android 14, up to 3 major Android upgrades, ColorOS 14.1;Panorama, HDR;"32 MP, f/2.0, 21mm (wide), 1/3.1"", PDAF";4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers
58;oppo;Oppo A17;https://www.gsmarena.com/oppo_a17-11902.php;N/A;N/A;N/A;Li-Po 5000 mAh;IPX4 water resistance;N/A;164.2 x 75.6 x 8.3 mm (6.46 x 2.98 x 0.33 in);Nano-SIM + Nano-SIM;189 g (6.67 oz);Yes;N/A;No;GPS;FM radio;microUSB 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~83.3% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity;2022, September 26;Available. Released 2022, September 26;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC;64GB 3GB RAM, 64GB 4GB RAM;Midnight Black, Lake Blue, Sunlight Orange;CPH2477;$ 415.00 / € 99.90 / £ 78.10;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6765 Helio G35 (12 nm);PowerVR GE8320;Android 12, ColorOS 12.1;HDR;5 MP, f/2.2, (wide);Yes;N/A;Yes;Yes
59;oppo;Oppo Reno13 Pro;https://www.gsmarena.com/oppo_reno13_pro-13514.php;N/A;N/A;"80W wired, PD, UFCS 33W, PPS 33W
50W wireless
Reverse wired";5800 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min)";Glass front (Gorilla Glass 7i), aluminum alloy frame, glass back;162.8 x 76.6 x 7.6 mm (6.41 x 3.02 x 0.30 in);Nano-SIM + Nano-SIM + eSIM (max 2 at a time)Nano-SIM + Nano-SIM;195 g or 197 g (6.88 oz);5.4, A2DP, LE, aptX HD, LHDC 5;Yes;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band;N/A;Corning Gorilla Glass 7i, Mohs level 4;1272 x 2800 pixels (~450 ppi density);6.83 inches, 113.3 cm2 (~90.9% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR10+, 1200 nits (peak);57:36h endurance, 1600 cycles;Class B;Class C (120 falls);Class B;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, November 25;Available. Released 2024, November 29;N/A;Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
50 MP, f/2.8, 85mm (telephoto), PDAF, OIS, 3.5x optical zoom
8 MP, f/2.2, 15mm, 116˚ (ultrawide), 1/4.0"", 1.12µm";4K@30/60fps, 1080p@30/60/120fps, gyro-EIS;UFS 3.1;No;256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Graphite Grey, Plume Purple, Pink;CPH2697, PKK110;$ 730.00 / € 499.99 / £ 679.00 / ₹ 35,799;N/A;1, 3, 5, 8, 28, 41, 77, 78 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 66 - International;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 66, 38, 40, 41, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;Active use score 16:42h;N/A;N/A;1168 nits max brightness (measured);-25.0 LUFS (Very good);"AnTuTu: 1154641 (v10)
GeekBench: 4138 (v6)
3DMark: 2914 (Wild Life Extreme)";Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510);Mediatek Dimensity 8350 (4 nm);Mali G615-MC6;Android 15, ColorOS 15;Panorama, HDR;50 MP, f/2.0, 21mm (wide), AF;4K@30/60fps, 1080p@30/60fps, gyro-EIS;N/A;No;Yes, with stereo speakers
60;oppo;Oppo A78 4G;https://www.gsmarena.com/oppo_a78_4g-12387.php;N/A;N/A;67W wired, PD, 76% in 30 min;Li-Po 5000 mAh;IP54 dust protected and water resistant (water splashes);N/A;160 x 73.2 x 7.9 mm (6.30 x 2.88 x 0.31 in);Nano-SIM + Nano-SIM;180 g (6.35 oz);5.0, A2DP, LE;N/A;Yes (market/region dependent);GPS, GALILEO, GLONASS, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~409 ppi density);6.43 inches, 99.8 cm2 (~85.2% screen-to-body ratio);AMOLED, 90Hz, 430 nits;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, July 10;Available. Released 2023, July 10;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;N/A;microSDXC;128GB 8GB RAM, 256GB 8GB RAM;Mist Black, Aqua Green;CPH2565;About 200 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver);Qualcomm SM6225 Snapdragon 680 4G (6 nm);Adreno 610;Android 13, ColorOS 13.1;N/A;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers
61;oppo;Oppo A57;https://www.gsmarena.com/oppo_a57-11476.php;N/A;N/A;10W wired;Li-Po 5000 mAh;N/A;Glass front, plastic frame, plastic back;163.8 x 75.1 x 8 mm (6.45 x 2.96 x 0.31 in);Nano-SIM + Nano-SIM;186 g (6.56 oz);5.2, A2DP, LE, aptX HD;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~84.0% screen-to-body ratio);IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2022, April 14;Available. Released 2022, April 15;"13 MP, f/2.2, 26mm (wide), 1/3.06"", 1.12µm, AF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;"UFS 2.1 (128GB/8GB)
UFS 2.2 (128GB/6GB)";microSDXC;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Black, Blue, Lilac;PFTM20;About 200 EUR;N/A;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 28, 34, 38, 39, 40, 41;1, 5, 8, 28, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;N/A;N/A;761 nits max brightness (measured);N/A;N/A;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 810 (6 nm);Mali-G57 MC2;Android 12, ColorOS 12.1;N/A;8 MP, f/2.0, 26mm (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers
