No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
53;Motorola;Motorola Razr 60;https://www.gsmarena.com/motorola_razr_60-13749.php;N/A;N/A;"30W wired
15W wireless";Si/C Li-Ion 4500 mAh;IP48 water resistant (up to 1.5m for 30 min);Plastic front (unfolded), glass front (folded, Gorilla Glass Victus), silicone polymer back (eco leather), aluminum frame (6000 series), hinge (stainless steel);Unfolded: 171.3 x 74 x 7.3 mmFolded: 88.1 x 74 x 15.9 mm;Nano-SIM + eSIMNano-SIM + Nano-SIM;188 g (6.63 oz);5.4, A2DP, LE;Yes;GPS, GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6 or 6e, dual-band or tri-band (region dependent);"Second external AMOLED, 1B colors, 90Hz, HDR10+, 1700 nits (peak)
3.6 inches, 1056 x 1066 pixels, 413 ppi, Gorilla Glass Victus";Mohs level 4;1080 x 2640 pixels (~413 ppi density);6.9 inches, 107.6 cm2 (~84.9% screen-to-body ratio);Foldable LTPO AMOLED, 1B colors, 120Hz, HDR10+, 3000 nits (peak);45:08h endurance, 1000 cycles;Class A;Class C (70 falls);Class B;N/A;Fingerprint (side-mounted), gyro, accelerometer, proximity, compass;2025, April 24;Available. Released 2025, April 25;"50 MP, f/1.7, 25mm (wide), 1/1.95"", 0.8µm, dual pixel PDAF, OIS
13 MP, f/2.2, 120˚ (ultrawide), 1/3.0"", 1.12µm, AF";LED flash, panorama, HDR, Pantone Validated Colour and Skin Tones;N/A;N/A;4K@30fps, 1080p@30/60fps, gyro-EIS;UFS 2.2;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Pantone: Gibraltar Sea, Spring Bud, Lightest Sky, Parfait Pink, Swarovski edition;XT2553-1;$ 755.00 / € 662.22 / £ 761.32 / ₹ 44,949;N/A;N/A;CDMA2000 1xEV-DO;GSM 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 43, 66;1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA/Sub6;HSPA, LTE (CA), 5G;GSM / CDMA / HSPA / EVDO / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7400X (4 nm);Mali-G615 MC2;Android 15;HDR;"32 MP, f/2.4, 25mm (wide), 1/3.14"", 0.7µm";4K@30fps, 1080p@30/60fps;N/A;No;Yes, with stereo speakers (with Dolby Atmos)
54;Motorola;Motorola Moto G15;https://www.gsmarena.com/motorola_moto_g15-13507.php;N/A;N/A;18W wired;5200 mAh;IP54 dust protected and water resistant (water splashes);Glass front (Gorilla Glass 3), plastic frame, silicone polymer back (eco leather);165.7 x 76 x 8.2 mm (6.52 x 2.99 x 0.32 in);Nano-SIM + Nano-SIM;190 g (6.70 oz);5.0, A2DP, LE;Yes (market/region dependent);GPS, GALILEO, GLONASS, BDS, QZSS;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 3, Mohs level 4;1080 x 2400 pixels, 20:9 ratio (~392 ppi density);6.72 inches, 109.0 cm2 (~86.6% screen-to-body ratio);IPS LCD;57:13h endurance, 1000 cycles;Class A;Class B (180 falls);Class B;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2024, December 17;Available. Released 2025, February 12;"50 MP, f/1.8, (wide), PDAF
5 MP, f/2.4, (ultrawide)";LED flash, HDR, panorama;N/A;N/A;1080p@30fps;N/A;microSDXC;128GB 4GB RAM, 256GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 512GB 4GB RAM, 512GB 8GB RAM;Gravity Grey, Iguana Green, Sunrise Orange, Sea Blue, Glacier Blue;XT2521-3;$ 139.99 / € 96.90;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55);Mediatek Helio G81 Extreme (12 nm);Mali-G52 MC2;Android 15;N/A;8 MP, f/2.0, (wide), 1.12µm;1080p@30fps;N/A;Yes;Yes, with stereo speakers
55;Motorola;Motorola Moto G Stylus 5G (2023);https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2023)-12301.php;N/A;N/A;20W wired;Li-Po 5000 mAh;"Stylus
Water-repellent design";Glass front, plastic frame, plastic back;162.8 x 73.8 x 9.2 mm (6.41 x 2.91 x 0.36 in);Nano-SIM;202 g (7.13 oz);5.1, A2DP, LE;Yes;GPS (L1+L5), GALILEO;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~399 ppi density);6.6 inches, 105.2 cm2 (~87.5% screen-to-body ratio);IPS LCD, 120Hz;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;2023, May 30;Available. Released 2023, June 02;"50 MP, f/1.9, (wide), 1.0µm, PDAF
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm, AF";LED flash, HDR, panorama;N/A;N/A;4K@30fps, 1080p@30/60fps;N/A;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 6GB RAM;Cosmic Black, Rose Champagne;XT2315-1, XT2315-4;$ 55.55;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 29, 30, 38, 39, 40, 41, 48, 66, 71;1, 2, 3, 5, 7, 12, 13, 14, 25, 26, 29, 30, 38, 41, 48, 66, 70, 71, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55);Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);Adreno 710;Android 13, planned upgrade to Android 14;HDR;16 MP, f/2.5, (wide), 1.0µm;1080p@30fps;N/A;Yes;Yes, with stereo speakers
56;Motorola;Motorola Edge (2022);https://www.gsmarena.com/motorola_edge_(2022)-11777.php;N/A;N/A;"30W wired
15W wireless
5W reverse wired";Li-Po 5000 mAh;Water-repellent design;Glass front, plastic frame, plastic back;160.9 x 74.2 x 8 mm (6.33 x 2.92 x 0.31 in);Nano-SIM + eSIM;170 g (6.00 oz);5.2, A2DP, LE;Yes;GPS, GLONASS, BDS, GALILEO;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~399 ppi density);6.6 inches, 105.2 cm2 (~88.1% screen-to-body ratio);OLED, 1B colors, 144Hz, HDR10+;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer;2022, August 18;Available. Released 2022, September 22;N/A;LED flash, HDR, panorama;N/A;"50 MP, f/1.8, (wide), 1/1.55"", 1.0µm, multi-directional PDAF, OIS
13 MP, f/1.5, 120˚ (ultrawide), 1.12µm
2 MP, f/2.4, (depth)";4K@30fps, 1080p@30/60/120fps, gyro-EIS;N/A;No;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Grey;N/A;$ 103.38;N/A;N/A;SA/NSA/Sub6/mmWave;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 20, 29, 30, 40, 41, 48, 66;2, 5, 30, 66 SA/NSA;HSPA, LTE (CA), 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);MediaTek Dimensity 1050 (6 nm);Arm Mali-G610 MC3;Android 12, upgradable to Android 14;HDR;32 MP, f/2.5, (wide), 0.7µm;1080p@30fps;N/A;No;Yes, with stereo speakers
57;Motorola;Motorola Edge (2025);https://www.gsmarena.com/motorola_edge_(2025)-13907.php;N/A;N/A;"68W wired
15W wireless";5200 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;161.2 x 73.1 x 8 mm (6.35 x 2.88 x 0.31 in);Nano-SIM + eSIM;181 g (6.38 oz);Yes;Yes;GPS, GLONASS, GALILEO, BDS, NavIC;No;USB Type-C, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band;N/A;Corning Gorilla Glass 7i;1220 x 2712 pixels, 20:9 ratio (~444 ppi density);6.7 inches, 108.4 cm2 (~92.0% screen-to-body ratio);P-OLED, 1B colors, 120Hz, HDR10+, 4500 nits peak;N/A;N/A;N/A;N/A;"Smart Connect support
Circle to Search";Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer;2025, May 27;Available. Released 2025, June 06;N/A;LED flash, HDR, panorama;N/A;"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
10 MP, f2.0, 73mm (telephoto), 1/3.94"", 1.0µm, PDAF, 3x optical zoom, OIS
50 MP, f/2.0, 12mm, 122˚ (ultrawide), 0.64µm, PDAF";4K@30fps, 1080p@30/60/120fps, gyro-EIS;UFS;No;256GB 8GB RAM;Deep Forest;N/A;$ 423.71;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 42, 48, 66, 71;1, 2, 3, 5, 7, 12, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 48, 66, 70, 71, 77, 78 SA/NSA/Sub6;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7400 Ultra (4 nm);Mali-G615 MC2;Android 15;HDR;50 MP, f/1.9, (wide), 0.64µm, PDAF;4K@30fps, 1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers (with Dolby Atmos)
58;Motorola;Motorola Razr 50 Ultra;https://www.gsmarena.com/motorola_razr_50_ultra-13150.php;N/A;N/A;"45W wired
15W wireless
5W reverse wired";4000 mAh;IPX8 water resistant (up to 1.5m for 30 min);Plastic front (unfolded), glass front (folded, Gorilla Glass Victus), silicone polymer back (eco leather), aluminum frame (6000 series), hinge (stainless steel);Unfolded: 171.4 x 74 x 7.1 mmFolded: 88.1 x 74 x 15.3 mm;Nano-SIM + eSIMNano-SIM + Nano-SIM;189 g (6.67 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band or tri-band (region dependent);"Second external LTPO AMOLED, 1B colors, Dolby Vision, 165Hz, HDR10+, 2400 nits (peak)
4 inches, 1272 x 1080 pixels, 417 ppi, Gorilla Glass Victus";N/A;1080 x 2640 pixels (~413 ppi density);6.9 inches, 107.6 cm2 (~84.9% screen-to-body ratio);Foldable LTPO AMOLED, 1B colors, Dolby Vision, 165Hz, HDR10+, 3000 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2024, June 25;Available. Released 2024, June 25;"50 MP, f/1.7, 24mm (wide), 1/1.95"", 0.8µm, dual pixel PDAF, OIS
50 MP, f/2.0, 47mm (telephoto), 1/2.76"", 0.64µm, PDAF, 2x optical zoom";LED flash, panorama, HDR;N/A;N/A;4K@30/60fps, 1080p@30/60/120/240/960fps, HDR10+, gyro-EIS;UFS 4.0;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Spring Green (Dill), Midnight Blue (Navy Blazer), Peach Fuzz, Mocha Mousse;XT2451-3;€ 659.49 / £ 579.99 / ₹ 57,999;N/A;N/A;CDMA2000 1xEV-DO;GSM 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66, 71;1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 71, 75, 77, 78 SA/NSA/Sub6;HSPA, LTE (CA), 5G;GSM / CDMA / HSPA / EVDO / LTE / 5G;Active use score 12:05h;N/A;N/A;1265 nits max brightness (measured);-22.5 LUFS (Excellent);"AnTuTu: 1140567 (v10)
GeekBench: 4441 (v6)
3DMark: 2567 (Wild Life Extreme)";Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520);Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm);Adreno 735;Android 14, up to 3 major Android upgrades;HDR;"32 MP, f/2.4, 25mm (wide), 1/3.14"", 0.7µm";4K@30/60fps, 1080p@30/60fps;Snapdragon Sound;No;Yes, with stereo speakers
59;Motorola;Motorola Moto G24;https://www.gsmarena.com/motorola_moto_g24-12802.php;N/A;N/A;15W wired;5000 mAh;Water-resistant design;Glass front, plastic back, plastic frame;163.5 x 74.5 x 8 mm (6.44 x 2.93 x 0.31 in);Nano-SIMNano-SIM + Nano-SIM;181 g (6.38 oz);5.0, A2DP, LE;Yes (market/region dependent);GPS, GALILEO, GLONASS;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~84.9% screen-to-body ratio);IPS LCD, 90Hz, 537 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2024, January 18;Available. Released 2024, February 06;"50 MP, f/1.8 (wide), 0.64µm, PDAF
2 MP, f/2.4, (macro)";LED flash, HDR, panorama;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC;128GB 4GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM;Matte Charcoal, Ice Green, Blueberry, Pink Lavender;XT2423-1;€ 90.62 / £ 77.49;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55);Mediatek MT6769Z Helio G85 (12 nm);Mali-G52 MC2;Android 14;HDR;8 MP, f/2.0, (wide), 1.12µm;1080p@30fps;N/A;Yes;Yes, with stereo speakers
60;Motorola;Motorola Edge 60 Neo;https://www.gsmarena.com/motorola_edge_60_neo_5g-14124.php;N/A;N/A;"68W wired
15W wireless";5200 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front (Gorilla Glass 7i), plastic frame, silicone polymer (eco leather) back;154.1 x 71.2 x 8.1 mm (6.07 x 2.80 x 0.32 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;174.5 g (6.17 oz);5.4, A2DP, LE;Yes;GPS, GLONASS, GALILEO;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band;N/A;Corning Gorilla Glass 7i;1200 x 2670 pixels, 20:9 ratio (~460 ppi density);6.36 inches, 97.6 cm2 (~88.9% screen-to-body ratio);LTPO P-OLED, 1B colors, 120Hz, HDR10+, 3000 nits (peak);N/A;N/A;N/A;N/A;Smart Connect (Ready For) support;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, September 05;Coming soon. Exp. release 2025, September;N/A;LED flash, HDR, panorama;N/A;"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
10 MP, f/2.0, 73mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom
13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm, PDAF";4K@30fps, 1080p@30/60/120/240fps, gyro-EIS;uMCP;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Pantone: Latte, Frostbite, Poinciana, Grisaille;N/A;About 400 EUR;N/A;N/A;CDMA 800;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 43, 66;1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA/Sub6;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7400 (4 nm);Mali-G615 MC2;Android 15, up to 5 major Android upgrades;HDR;"32 MP, f/2.4, (wide), 1/3.14"", 0.7µm";4K@30fps, 1080p@30/60/120fps;N/A;No;Yes, with stereo speakers
61;Motorola;Motorola Edge 50;https://www.gsmarena.com/motorola_edge_50-13231.php;N/A;N/A;"68W wired
15W wireless";5000 mAh;"IP68 dust tight and water resistant (immersible up to 1.5m for 30 min)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front, aluminum frame, silicone polymer (eco leather or eco suede) back;160.8 x 72.4 x 7.8 mm (6.33 x 2.85 x 0.31 in);Nano-SIMNano-SIM + eSIMNano-SIM + Nano-SIM;180 g (6.35 oz);5.2, A2DP, LE;Yes;GPS, GLONASS, GALILEO;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5, Mohs level 4;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.7 inches, 107.4 cm2 (~92.2% screen-to-body ratio);P-OLED, 1B colors, 120Hz, HDR10+, 1600 nits (peak);45:48h endurance, 1200 cycles;Class B;Class A (270 falls);Class B;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, August 01;Available. Released 2024, August 08;N/A;LED flash, HDR, panorama;N/A;"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
10 MP, f2.0, 73mm (telephoto), 1/3.94"", 1.0µm, PDAF, 3x optical zoom, OIS
13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm, PDAF";4K@30fps, 1080p@30/60/120/240fps;UFS 2.2;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Koala Gray, Jungle Green, Peach Fuzz;XT2407-1;$ 329.99 / ₹ 21,590;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 43, 48, 66;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Active use score 9:56h;N/A;N/A;1416 nits max brightness (measured);-23.1 LUFS (Very good);"AnTuTu: 722062 (v10)
GeekBench: 2940 (v6)
3DMark: 823 (Wild Life Extreme)";Octa-core (1x2.5 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510);Qualcomm SM7450-AB Snapdragon 7 Gen 1 AE (4 nm);Adreno 644;Android 14, up to 5 major Android upgrades;HDR;"32 MP, f/2.4, (wide), 1/3.14"", 0.7µm";4K@30fps, 1080p@30/120fps;N/A;No;Yes, with stereo speakers
62;Motorola;Motorola Razr 40;https://www.gsmarena.com/motorola_razr_40-12311.php;N/A;N/A;"30W wired
5W wireless";Li-Po 4200 mAh;Water-repellent coating;Plastic front (unfolded), plastic front (folded), plastic back, aluminum frame (7000 series), hinge (stainless steel);Unfolded: 170.8 x 74 x 7.4 mmFolded: 88.2 x 74 x 15.8 mm;Nano-SIM + eSIMNano-SIM + Nano-SIM;188.6 g (6.67 oz);5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless;Yes;GPS, GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (region dependent);"Second external AMOLED, 1000 nits (peak)
1.5 inches, 194 x 368 pixels, 282 ppi, Gorilla Glass Victus";N/A;1080 x 2640 pixels (~413 ppi density);6.9 inches, 107.6 cm2 (~85.1% screen-to-body ratio);Foldable LTPO AMOLED, 1B colors, 144Hz, HDR10+, 1400 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer (USA only);2023, June 01;Available. Released 2023, June 21;"64 MP, f/1.7, 25mm (wide), 1/2.0"", 0.7µm, PDAF, OIS
13 MP, f/2.2, 16mm, 120˚ (ultrawide), 1/3.0"", 1.12µm, AF";Laser AF, LED flash, panorama, HDR;N/A;N/A;4K@30fps, 1080p@30/60fps, gyro-EIS;UFS 2.2;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;Sage Green, Vanilla Cream, Summer Lilac, Grape Compote, Cherry Blossom;XT2323-2;$ 214.99 / € 499.99 / ₹ 39,999;N/A;N/A;1, 2, 3, 5, 7, 12, 14, 20, 25, 26, 28, 29, 30, 41, 48, 66, 70, 71, 77, 78 SA/NSA/Sub6 - North America;GSM 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 43, 48, 66 - International;1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6 - International;HSPA, LTE (CA), 5G;GSM / CDMA / HSPA / EVDO / LTE / 5G;N/A;Endurance rating 85h;Photo / Video;1064 nits max brightness (measured);-25.6 LUFS (Very good);"AnTuTu: 492343 (v9), 566140 (v10)
GeekBench: 2873 (v5.5), 2905 (v6.0)
GFXBench: 18fps (ES 3.1 onscreen)";Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510);Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm);Adreno 644;Android 13, up to 3 major Android upgrades;HDR;"32 MP, f/2.4, 25mm (wide), 1/3.0"", 0.7µm";4K@30fps, 1080p@30/60fps;Snapdragon Sound;No;Yes, with stereo speakers
63;Motorola;Motorola Moto G06;https://www.gsmarena.com/motorola_moto_g06-14115.php;N/A;N/A;10W wired;5200 mAh;IP64 dust tight and water resistant (water splashes);Glass front, plastic frame, silicone polymer back (eco leather);171.4 x 77.5 x 8.3 mm (6.75 x 3.05 x 0.33 in);Nano-SIM + Nano-SIM;-;Yes;Yes (market/region dependent);GPS, GALILEO, GLONASS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 3;720 x 1640 pixels (~260 ppi density);6.88 inches, 112.4 cm2 (~84.6% screen-to-body ratio);IPS LCD, 120Hz;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity;2025, September 05;Coming soon. Exp. release 2025, September;N/A;LED flash, HDR;50 MP, f/1.8, (wide), PDAF;N/A;1080p@30fps;N/A;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 256GB 8GB RAM;Pantone: Laurel Oak, Arabesque, Tapestry, Tendril;XT2535-1, XT2535-2, XT2535-3;About 130 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55);Mediatek Helio G81 Ultra (12 nm);Mali-G52 MC2;Android 15;HDR;8 MP, f/2.1, (wide), 1.12µm;1080p@30fps;N/A;Yes;Yes, with stereo speakers
