No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Musicplay;Battery_Standby;Battery_Talktime;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Browser;Features_Games;Features_Java;Features_Messaging;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Callrecords;Memory_Cardslot;Memory_Internal;Memory_Phonebook;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_EDGE;Network_GPRS;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Alerttypes;Sound_Loudspeaker
11;Sony;Sony Xperia X;https://www.gsmarena.com/sony_xperia_x-7948.php;N/A;N/A;18W wired, QC2;N/A;N/A;N/A;Li-Ion 2620 mAh, non-removable;N/A;Glass front, aluminum back, aluminum frame;143 x 69 x 7.7 mm (5.63 x 2.72 x 0.30 in);Nano-SIMNano-SIM + Nano-SIM;153 g (5.40 oz);4.2, A2DP, aptX, LE;N/A;Yes;GPS, GLONASS;FM radio, RDS;microUSB 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA;"Triluminos display
X-Reality Engine";Scratch-resistant glass, oleophobic coating;1080 x 1920 pixels, 16:9 ratio (~441 ppi density);5.0 inches, 68.9 cm2 (~69.8% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass;2016, February. Released 2016, May;Discontinued;N/A;LED flash, HDR, panorama;"23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF";N/A;1080p@30fps, 1080p@60fps;eMMC 4.5;N/A;microSDXC (uses shared SIM slot) - dual SIM model only;32GB 3GB RAM (F5121), 64GB 3GB RAM (F5122);N/A;White, Graphite Black, Lime Gold, Rose Gold;F5122, F5121;About 150 EUR;0.97 W/kg (head)     0.97 W/kg (body);0.72 W/kg (head)     1.23 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - F5121, F5122;1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 28, 38, 39, 40, 41 - F5121, F5122;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps;GSM / HSPA / LTE;Noise -94.8dB / Crosstalk -93.4dB;N/A;Endurance rating 67h;Photo / Video;Contrast ratio: 1219 (nominal),  2.989 (sunlight);Voice 61dB / Noise 61dB / Ring 65dB;Basemark OS II 2.0: 1714Basemark X: 15087;Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72);Qualcomm MSM8956 Snapdragon 650;Adreno 510;Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo);N/A;N/A;N/A;"13 MP, f/2.0, 22mm (wide), 1/3""";1080p@30fps;24-bit/192kHz audio;Yes;N/A;Yes, with stereo speakers
12;Sony;Sony Xperia 10 VI;https://www.gsmarena.com/sony_xperia_10_vi-13002.php;N/A;N/A;Wired, PD, QC;N/A;N/A;N/A;5000 mAh;"IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min)";Glass front (Gorilla Glass Victus), plastic frame, plastic back;155 x 68 x 8.3 mm (6.10 x 2.68 x 0.33 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;164 g (5.78 oz);5.2, A2DP, LE, aptX HD, aptX Adaptive;N/A;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;Triluminos display;Corning Gorilla Glass Victus;1080 x 2520 pixels, 21:9 ratio (~449 ppi density);6.1 inches, 86.9 cm2 (~82.5% screen-to-body ratio);OLED, 1B colors, HDR;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2024, May 15;Available. Released 2024, June 13;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm";LED flash, HDR, panorama;N/A;N/A;4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS;UFS;N/A;microSDXC (uses shared SIM slot);128GB 8GB RAM;N/A;Blue, Black, White;XQ-ES54, XQ-ES72, XQ-ES72/L2TWCX0, XQ-ES72/B2TWCX0, XQ-ES72/W2TWCX0, ‎XQES54EUKCB.GC;$ 599.00;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 2100;1, 3, 4, 5, 7, 8, 20, 28, 38, 39, 40, 41;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;Active use score 13:56h;N/A;N/A;1010 nits max brightness (measured);-27.1 LUFS (Good);"AnTuTu: 490025 (v9), 559136 (v10)

GeekBench: 2769 (v5), 2765 (v6)
3DMark: 613 (Wild Life Extreme)";Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55);Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);Adreno 710;Android 14, upgradable to Android 15, up to 3 major Android upgrades;N/A;N/A;HDR;"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm";1080p@30fps;24-bit/192kHz Hi-Res & Hi-Res wireless audio;Yes;N/A;Yes, with stereo speakers
13;Sony;Sony Xperia L1;https://www.gsmarena.com/sony_xperia_l1-8619.php;N/A;N/A;N/A;Up to 63 h;Up to 639 h (2G) / Up to 687 h (3G);Up to 13 h (2G) / Up to 11 h 30 min (3G);Li-Ion 2620 mAh, non-removable;N/A;Glass front, plastic back, plastic frame;151 x 74 x 8.7 mm (5.94 x 2.91 x 0.34 in);Nano-SIMNano-SIM + Nano-SIM;180 g (6.35 oz);4.2, A2DP, LE, aptX;N/A;Yes;GPS, GLONASS, BDS;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct;N/A;Scratch-resistant glass (> 6H);720 x 1280 pixels, 16:9 ratio (~267 ppi density);5.5 inches, 83.4 cm2 (~74.6% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Accelerometer, proximity, compass;2017, March. Released 2017, June;Discontinued;N/A;LED flash, HDR;13 MP, f/2.2, AF;N/A;1080p@30fps;eMMC 5.0;N/A;microSDXC (uses shared SIM slot);16GB 2GB RAM;N/A;Black, White, Pink;G3312, G3311, G3313;About 110 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;GSM / HSPA / LTE;Noise -93.6dB / Crosstalk -93.8dB;N/A;Endurance rating 63h;Photo / Video;Contrast ratio: 957:1 (nominal), 2.994 (sunlight);Voice 91dB / Noise 74dB / Ring 83dB;GeekBench: 1890 (v4.4);Quad-core 1.45 GHz Cortex-A53;Mediatek MT6737T (28 nm);Mali-T720MP2;Android 7.0 (Nougat);N/A;N/A;N/A;5 MP, f/2.2, 24mm (wide);1080p@30fps;N/A;Yes;N/A;Yes
14;Sony;Sony Ericsson K750;https://www.gsmarena.com/sony_ericsson_k750-1090.php;N/A;N/A;N/A;N/A;Up to 400 h;Up to 9 h;Removable Li-Po 900 mAh battery (BST-36);N/A;N/A;100 x 46 x 20.5 mm (3.94 x 1.81 x 0.81 in);Mini-SIM;99 g (3.49 oz);2.0;Yes;N/A;No;Stereo FM radio, RDS;Proprietary;No;Wallpapers, screensavers;N/A;176 x 220 pixels (~157 ppi density);1.8 inches, 28 x 35 mm, 10.2 cm2 (~22.2% screen-to-body ratio);TFT, 256K colors;N/A;N/A;N/A;N/A;"Predictive text input
Organizer
Infrared transfer of data between compatible phones
Xpress-on covers
Profiles";WAP 2.0/xHTML;Yes + downloadable;Yes, MIDP 2.0;SMS, EMS, MMS, Email, Instant Messaging;;2005, Q1;Discontinued;N/A;LED flash;2 MP, AF;N/A;Yes;N/A;30 received, dialed and missed calls;Memory Stick Duo Pro, up to 2 GB, 64 MB included;38MB;500 x 20 fields, Photo call;Black, Silver;N/A;About 140 EUR;N/A;0.99 W/kg (head);N/A;GSM 900 / 1800 / 1900;N/A;N/A;N/A;No;Class 10;N/A;GSM;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;No;"Vibration; Downloadable polyphonic, MP3 ringtones, composer";Yes
15;Sony;Sony Xperia XZ Premium;https://www.gsmarena.com/sony_xperia_xz_premium-8593.php;N/A;N/A;18W wired, QC3;N/A;N/A;N/A;Li-Ion 3230 mAh, non-removable;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum/plastic frame;156 x 77 x 7.9 mm (6.14 x 3.03 x 0.31 in);Nano-SIM (G8141)Nano-SIM + Nano-SIM (G8142);195 g (6.88 oz);5.0, A2DP, aptX HD, LE;N/A;Yes;GPS, GLONASS, BDS, GALILEO;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA;"Runs at 1080 x 1920 pixels except for select use cases
Triluminos display
X-Reality Engine";Corning Gorilla Glass 5;3840 x 2160 pixels, 16:9 ratio (~807 ppi density);5.46 inches, 82.2 cm2 (~68.4% screen-to-body ratio);IPS LCD, HDR10;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted, region dependent), accelerometer, gyro, proximity, barometer, compass;2017, February 27. Released 2017, June 18;Discontinued;N/A;Laser AF, color spectrum sensor, LED flash, panorama, HDR;"19 MP, f/2.0, 25mm (wide), 1/2.3"", predictive PDAF";N/A;4K@30fps, 1080p@30fps (gyro-EIS), 720p@960fps, HDR;UFS 2.1;N/A;microSDXC (uses shared SIM slot) - dual SIM model only;64GB 4GB RAM;N/A;Luminous Chrome, Deepsea Black, Bronze Pink, Rosso;G8142, G8141, SO-04K, SO-04J;About 320 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - G8142;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - G8141, G8142;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32, 38, 39, 40, 41 - G8141, G8142;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat16 1024/150 Mbps;GSM / HSPA / LTE;Noise -90.6dB / Crosstalk -92.6dB;N/A;Endurance rating 72h;Photo / Video;Contrast ratio: 1238:1 (nominal), 2.877 (sunlight);Voice 62dB / Noise 65dB / Ring 71dB;"GeekBench: 5460 (v4.4), 1603 (v5.1)
GFXBench: 25fps (ES 3.1 onscreen)";Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo);Qualcomm MSM8998 Snapdragon 835 (10 nm);Adreno 540;Android 7.1 (Nougat), upgradable to Android 9.0 (Pie);N/A;N/A;N/A;"13 MP, f/2.0, 22mm (wide), 1/3.1"", 1.12µm";1080p@30fps;24-bit/192kHz audio;Yes;N/A;Yes, with stereo speakers
16;Sony;Sony Xperia 5 III;https://www.gsmarena.com/sony_xperia_5_iii-10851.php;N/A;N/A;Wired, PD, 50% in 30 min;N/A;N/A;N/A;Li-Po 4500 mAh;"IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min)";Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame;157 x 68 x 8.2 mm (6.18 x 2.68 x 0.32 in);Nano-SIMNano-SIM + Nano-SIM;168 g (5.93 oz);5.2, A2DP, LE, aptX HD, aptX Adaptive;N/A;Yes;GPS, GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 3.1, OTG, video output;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA;N/A;Corning Gorilla Glass 6;1080 x 2520 pixels, 21:9 ratio (~449 ppi density);6.1 inches, 86.9 cm2 (~81.4% screen-to-body ratio);OLED, 1B colors, 120Hz, HDR BT.2020;N/A;N/A;N/A;N/A;Native Sony Alpha camera support;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass;2021, April 14;Available. Released 2021, October 08;N/A;Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking;N/A;"12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, dual pixel PDAF, OIS
12 MP, f/2.3, 70mm (telephoto), f/2.8, 105mm (telephoto), 1/2.9"", dual pixel PDAF, 3x/4.4x optical zoom, OIS
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.6"", dual pixel PDAF";"4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS";UFS 3.X;N/A;microSDXC (uses shared SIM slot);128GB 8GB RAM, 256GB 8GB RAM;N/A;Black, Green, Pink;XQBQ62/G, XQBQ52G.UKCX, XQBQ52B.UKCX, XQ-BQ52, XQ-BQ72, XQ-BQ42, XQ-BQ62, SO-53B;€ 348.36;N/A;N/A;1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78, 79 SA/NSA/Sub6 - Asia;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 48, 66, 71 - USA;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 71, 77, 78 SA/NSA/Sub6 - USA;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;Endurance rating 100h;Photo / Video;590 nits max brightness (measured);-26.7 LUFS (Good);"AnTuTu: 708394 (v9)
GeekBench: 3549 (v5.1)
GFXBench: 53fps (ES 3.1 onscreen)";Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55);Qualcomm SM8350 Snapdragon 888 5G (5 nm);Adreno 660;Android 11, upgradable to Android 13;N/A;N/A;HDR;"8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm";1080p@30fps, 5-axis gyro-EIS;"24-bit/192kHz Hi-Res audio
Dynamic vibration system
Snapdragon Sound";Yes;N/A;Yes, with stereo speakers
17;Sony;Sony Xperia Z3;https://www.gsmarena.com/sony_xperia_z3-6539.php;N/A;N/A;18W wired, QC2 (Japan);Up to 130 h;Up to 890 h (2G) / Up to 740 h (3G);Up to 14 h (2G) / Up to 16 h (3G);Li-Ion 3100 mAh, non-removable;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front, glass back, aluminum frame;146 x 72 x 7.3 mm (5.75 x 2.83 x 0.29 in);Nano-SIM;152 g (5.36 oz);4.0, A2DP, aptX;N/A;Yes;GPS, GLONASS, BDS;FM radio, RDS;microUSB 2.0 (MHL 3 TV-out), OTG, magnetic connector;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot;"Triluminos display
X-Reality Engine";Scratch-resistant glass, oleophobic coating;1080 x 1920 pixels, 16:9 ratio (~424 ppi density);5.2 inches, 74.5 cm2 (~70.9% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;ANT+;N/A;N/A;N/A;N/A;Accelerometer, gyro, proximity, compass, barometer;2014, September 03. Released 2014, November 06;Discontinued;N/A;LED flash, HDR, panorama;"20.7 MP, f/2.0, 25mm (wide), 1/2.3"", 1.12µm, AF";N/A;4K@30fps, 1080p@60fps, 720p@120fps, HDR;eMMC 5.0;N/A;microSDXC (dedicated slot);16GB 3GB RAM, 32GB 3GB RAM;N/A;Black, White, Copper, Silver Green, Purple;D6603, D6653, D6616, D6643, SO-01G, SOL26, D6646;About 180 EUR;0.80 W/kg (head)     1.44 W/kg (body);0.62 W/kg (head)     0.65 W/kg (body);2, 4, 12 - D6616;GSM 850 / 900 / 1800 / 1900 - D6603, D6643, D6653, D6616;HSDPA 850 / 900 / 1700 / 1900 / 2100 - D6603, D6643, D6616;1, 2, 3, 4, 5, 7, 8, 13, 17, 20 - D6603;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;GSM / HSPA / LTE;Noise -86.4dB / Crosstalk -86.6dB;N/A;Endurance rating 85h;Photo / Video;Contrast ratio: 1333:1 (nominal), 2.618 (sunlight);Voice 69dB / Noise 66dB / Ring 67dB;Basemark X: 12637;Quad-core 2.5 GHz Krait 400;Qualcomm MSM8974AC Snapdragon 801 (28 nm);Adreno 330;Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow);N/A;N/A;N/A;2.2 MP, f/2.8;1080p@30fps;N/A;Yes;N/A;Yes, with stereo speakers
18;Sony;Sony Xperia XZ2 Premium;https://www.gsmarena.com/sony_xperia_xz2_premium-9166.php;N/A;N/A;"18W wired, QC3
Wireless (Qi)";N/A;N/A;N/A;Li-Ion 3540 mAh, non-removable;"IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min)";Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame;158 x 80 x 11.9 mm (6.22 x 3.15 x 0.47 in);Nano-SIMNano-SIM + Nano-SIM;236 g (8.32 oz);5.0, A2DP, aptX HD, LE;N/A;Yes;GPS, GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA;"Runs at 1080 x 1920 pixels except for select use cases
Triluminos display
X-Reality Engine";Corning Gorilla Glass 5;3840 x 2160 pixels, 16:9 ratio (~765 ppi density);5.8 inches, 91.5 cm2 (~72.4% screen-to-body ratio);IPS LCD, HDR10;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass;2018, April. Released 2018, July;Discontinued;"19 MP, f/1.8, 25mm (wide), 1/2.3"", 1.22µm, predictive PDAF
12 MP B/W, f/1.6, 1/2.3"", 1.55µm, predictive PDAF";Laser AF, color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;4K@30fps, 1080p@30/60fps (5-axis gyro-EIS), 1080p@960fps, HDR;UFS 2.1;N/A;microSDXC (uses shared SIM slot) - dual SIM model only;64GB 6GB RAM;N/A;Chrome Black, Chrome Silver;H8166, H8116, SOV38;About 460 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32, 38, 39, 40, 41, 46, 66;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE (6CA) Cat18 1200/200 Mbps;GSM / HSPA / LTE;Noise -91.0dB / Crosstalk -87.6dB;N/A;Endurance rating 77h;Photo / Video;Contrast ratio: 1411:1 (nominal), 2.867 (sunlight);Voice 68dB / Noise 73dB / Ring 73dB;"AnTuTu: 264734 (v7), 288101 (v8)
GeekBench: 8509 (v4.4), 2099 (v5.1)
GFXBench: 37fps (ES 3.1 onscreen)";Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver);Qualcomm SDM845 Snapdragon 845 (10 nm);Adreno 630;Android 8.0 (Oreo), upgradable to Android 10;N/A;N/A;N/A;"13 MP, f/2.0, 22mm (wide), 1/3.1"", 1.12µm";1080p@30fps (5-axis gyro-EIS);"24-bit/192kHz Hi-Res audio
Dynamic vibration system";No;N/A;Yes, with stereo speakers
19;Sony;Sony Xperia XA1 Ultra;https://www.gsmarena.com/sony_xperia_xa1_ultra-8595.php;N/A;N/A;10W wired;N/A;Up to 658 h (2G) / Up to 708 h (3G);Up to 13 h (2G) / Up to 12 h (3G);Li-Ion 2700 mAh, non-removable;N/A;Glass front (Gorilla Glass 4), plastic back, aluminum/plastic frame;165 x 79 x 8.1 mm (6.50 x 3.11 x 0.32 in);Nano-SIM (G3221, G3223)Nano-SIM + Nano-SIM (G3212, G3226);188 g (6.63 oz);4.2, A2DP, aptX, LE;N/A;Yes;GPS, GLONASS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 4;1080 x 1920 pixels, 16:9 ratio (~367 ppi density);6.0 inches, 99.2 cm2 (~76.1% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Accelerometer, proximity, compass;2017, February. Released 2017, May;Discontinued;N/A;LED flash, HDR, panorama;"23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF";N/A;1080p@30fps, stereo sound rec., HDR;N/A;N/A;microSDXC (dedicated slot);32GB 4GB RAM, 64GB 4GB RAM;N/A;White, Black, Gold, Pink;G3226, G3221, G3212, G3223;About 250 EUR;N/A;N/A;1, 3, 5, 7, 8, 28, 38, 39, 40, 41 - G3226;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (G3212, G3226);HSDPA 850 / 900 / 1900 / 2100 - G3221, G3212;1, 2, 3, 5, 7, 8, 20 - G3221, G3212;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps;GSM / HSPA / LTE;Noise -93.9dB / Crosstalk -91.3dB;N/A;Endurance rating 68h;Photo / Video;Contrast ratio: 1579 (nominal), 3.597 (sunlight);Voice 68dB / Noise 71dB / Ring 81dB;"GeekBench: 3807 (v4.4)
GFXBench: 4fps (ES 3.1 onscreen)";Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53);Mediatek MT6757 Helio P20 (16 nm);Mali-T880MP2;Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo);N/A;N/A;LED flash;"16 MP, f/2.0, 23mm (wide), 1/2.6"", OIS, AF";1080p@30fps;N/A;Yes;N/A;Yes
20;Sony;Sony Xperia 5;https://www.gsmarena.com/sony_xperia_5-9840.php;N/A;N/A;18W wired, PD2.0;N/A;N/A;N/A;Li-Ion 3140 mAh, non-removable;"IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min)";Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame;158 x 68 x 8.2 mm (6.22 x 2.68 x 0.32 in);Nano-SIMNano-SIM + Nano-SIM;164 g (5.78 oz);5.0, A2DP, aptX HD, LE;N/A;Yes;GPS, GLONASS, BDS, GALILEO;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA;"Triluminos display
X-Reality Engine";Corning Gorilla Glass 6;1080 x 2520 pixels, 21:9 ratio (~449 ppi density);6.1 inches, 86.9 cm2 (~80.9% screen-to-body ratio);OLED, HDR BT.2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass;2019, September 05;Available. Released 2019, October 05;N/A;Color spectrum sensor, LED flash, panorama, HDR, eye tracking;N/A;"12 MP, f/1.6, 26mm (wide), 1/2.55"", 1.4µm, predictive dual pixel PDAF, 5-axis OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, predictive PDAF, 2x optical zoom, 5-axis OIS
12 MP, f/2.4, 16mm (ultrawide), 1/3.4"", 1.0µm";4K@24/30fps HDR, 1080p@60fps, 1080p@30fps (5-axis gyro-EIS);UFS 2.1;N/A;microSDXC (uses shared SIM slot);128GB 6GB RAM;N/A;Blue, Red, Black, Grey;J8210, J8270, J9210, SOV41, SO-01M;About 500 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 66;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat19 1600/150 Mbps;GSM / HSPA / LTE;Noise -93.0dB / Crosstalk -89.4dB;N/A;Endurance rating 96h;N/A;630 nits max brightness (measured);-27.1 LUFS (Good);"AnTuTu: 334809 (v7), 416601 (v8)
GeekBench: 10941 (v4.4), 2825 (v5.1)
GFXBench: 33fps (ES 3.1 onscreen)";Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485);Qualcomm SM8150 Snapdragon 855 (7 nm);Adreno 640;Android 9.0 (Pie), upgradable to Android 11;N/A;N/A;HDR;"8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm";1080p@30fps (5-axis gyro-EIS);"24-bit/192kHz Hi-Res audio
Dynamic vibration system";No;N/A;Yes, with stereo speakers
